,regime,stop
2021-01-03,0,warmup
2021-01-10,0,warmup
2021-01-17,0,warmup
2021-01-24,0,warmup
2021-01-31,0,warmup
2021-02-07,0,warmup
2021-02-14,0,warmup
2021-02-21,0,warmup
2021-02-28,0,warmup
2021-03-07,0,warmup
2021-03-14,0,warmup
2021-03-21,0,warmup
2021-03-28,0,warmup
2021-04-04,0,warmup
2021-04-11,0,warmup
2021-04-18,0,warmup
2021-04-25,0,warmup
2021-05-02,0,warmup
2021-05-09,0,warmup
2021-05-16,0,warmup
2021-05-23,0,warmup
2021-05-30,0,warmup
2021-06-06,0,warmup
2021-06-13,0,warmup
2021-06-20,0,warmup
2021-06-27,0,warmup
2021-07-04,0,warmup
2021-07-11,0,warmup
2021-07-18,0,warmup
2021-07-25,0,warmup
2021-08-01,0,warmup
2021-08-08,0,warmup
2021-08-15,0,warmup
2021-08-22,0,warmup
2021-08-29,0,warmup
2021-09-05,0,warmup
2021-09-12,0,warmup
2021-09-19,0,warmup
2021-09-26,0,warmup
2021-10-03,0,warmup
2021-10-10,0,warmup
2021-10-17,0,warmup
2021-10-24,0,warmup
2021-10-31,0,warmup
2021-11-07,0,warmup
2021-11-14,0,warmup
2021-11-21,0,warmup
2021-11-28,0,warmup
2021-12-05,0,warmup
2021-12-12,0,warmup
2021-12-19,-1,NORMAL
2021-12-26,-1,NORMAL
2022-01-02,-1,NORMAL
2022-01-09,-1,NORMAL
2022-01-16,-1,NORMAL
2022-01-23,-1,NORMAL
2022-01-30,-1,NORMAL
2022-02-06,-1,NORMAL
2022-02-13,0,NORMAL
2022-02-20,-1,NORMAL
2022-02-27,0,NORMAL
2022-03-06,-1,NORMAL
2022-03-13,-1,NORMAL
2022-03-20,-1,NORMAL
2022-03-27,0,NORMAL
2022-04-03,1,NORMAL
2022-04-10,1,NORMAL
2022-04-17,0,NORMAL
2022-04-24,-1,NORMAL
2022-05-01,-1,NORMAL
2022-05-08,-1,NORMAL
2022-05-15,-1,NORMAL
2022-05-22,-1,NORMAL
2022-05-29,-1,NORMAL
2022-06-05,-1,NORMAL
2022-06-12,-1,NORMAL
2022-06-19,-1,NORMAL
2022-06-26,-1,NORMAL
2022-07-03,-1,NORMAL
2022-07-10,-1,NORMAL
2022-07-17,-1,NORMAL
2022-07-24,0,NORMAL
2022-07-31,0,NORMAL
2022-08-07,0,NORMAL
2022-08-14,0,NORMAL
2022-08-21,0,NORMAL
2022-08-28,-1,NORMAL
2022-09-04,-1,NORMAL
2022-09-11,-1,NORMAL
2022-09-18,-1,NORMAL
2022-09-25,-1,NORMAL
2022-10-02,-1,NORMAL
2022-10-09,-1,NORMAL
2022-10-16,-1,NORMAL
2022-10-23,-1,NORMAL
2022-10-30,0,NORMAL
2022-11-06,0,NORMAL
2022-11-13,0,NORMAL
2022-11-20,-1,NORMAL
2022-11-27,-1,NORMAL
2022-12-04,-1,NORMAL
2022-12-11,-1,NORMAL
2022-12-18,0,NORMAL
2022-12-25,0,NORMAL
2023-01-01,0,NORMAL
2023-01-08,-1,NORMAL
2023-01-15,0,NORMAL
2023-01-22,1,NORMAL
2023-01-29,1,NORMAL
2023-02-05,1,NORMAL
2023-02-12,1,NORMAL
2023-02-19,1,NORMAL
2023-02-26,1,NORMAL
2023-03-05,0,NORMAL
2023-03-12,0,NORMAL
2023-03-19,1,NORMAL
2023-03-26,1,NORMAL
2023-04-02,1,NORMAL
2023-04-09,1,NORMAL
2023-04-16,1,NORMAL
2023-04-23,1,NORMAL
2023-04-30,0,NORMAL
2023-05-07,1,NORMAL
2023-05-14,1,NORMAL
2023-05-21,0,NORMAL
2023-05-28,0,NORMAL
2023-06-04,0,NORMAL
2023-06-11,0,NORMAL
2023-06-18,0,NORMAL
2023-06-25,0,NORMAL
2023-07-02,1,NORMAL
2023-07-09,1,NORMAL
2023-07-16,1,NORMAL
2023-07-23,1,NORMAL
2023-07-30,0,NORMAL
2023-08-06,0,NORMAL
2023-08-13,0,NORMAL
2023-08-20,0,NORMAL
2023-08-27,-1,NORMAL
2023-09-03,-1,NORMAL
2023-09-10,-1,NORMAL
2023-09-17,-1,NORMAL
2023-09-24,0,NORMAL
2023-10-01,0,NORMAL
2023-10-08,1,NORMAL
2023-10-15,1,NORMAL
2023-10-22,0,NORMAL
2023-10-29,1,NORMAL
2023-11-05,1,NORMAL
2023-11-12,1,NORMAL
2023-11-19,1,NORMAL
2023-11-26,1,NORMAL
2023-12-03,1,NORMAL
2023-12-10,1,NORMAL
2023-12-17,1,NORMAL
2023-12-24,1,NORMAL
2023-12-31,1,NORMAL
2024-01-07,1,NORMAL
2024-01-14,1,NORMAL
2024-01-21,1,NORMAL
2024-01-28,0,NORMAL
2024-02-04,0,NORMAL
2024-02-11,0,NORMAL
2024-02-18,1,NORMAL
2024-02-25,1,NORMAL
2024-03-03,1,NORMAL
2024-03-10,1,NORMAL
2024-03-17,1,NORMAL
2024-03-24,1,NORMAL
2024-03-31,1,NORMAL
2024-04-07,1,NORMAL
2024-04-14,1,NORMAL
2024-04-21,0,NORMAL
2024-04-28,0,NORMAL
2024-05-05,0,NORMAL
2024-05-12,0,NORMAL
2024-05-19,0,NORMAL
2024-05-26,1,NORMAL
2024-06-02,1,NORMAL
2024-06-09,1,NORMAL
2024-06-16,1,NORMAL
2024-06-23,1,NORMAL
2024-06-30,0,NORMAL
2024-07-07,0,NORMAL
2024-07-14,-1,NORMAL
2024-07-21,-1,NORMAL
2024-07-28,1,TRIGGERED
2024-08-04,1,ACTIVE
2024-08-11,0,ACTIVE
2024-08-18,-1,RESUMED
2024-08-25,-1,NORMAL
2024-09-01,0,NORMAL
2024-09-08,-1,NORMAL
2024-09-15,-1,NORMAL
2024-09-22,0,NORMAL
2024-09-29,0,NORMAL
2024-10-06,1,TRIGGERED
2024-10-13,1,ACTIVE
2024-10-20,1,ACTIVE
2024-10-27,1,ACTIVE
2024-11-03,1,RESUMED
2024-11-10,1,TRIGGERED
2024-11-17,1,ACTIVE
2024-11-24,1,ACTIVE
2024-12-01,1,ACTIVE
2024-12-08,1,RESUMED
2024-12-15,1,TRIGGERED
2024-12-22,1,ACTIVE
2024-12-29,0,ACTIVE
2025-01-05,0,ACTIVE
2025-01-12,0,ACTIVE
2025-01-19,0,ACTIVE
2025-01-26,1,RESUMED
2025-02-02,1,TRIGGERED
2025-02-09,0,ACTIVE
2025-02-16,1,ACTIVE
2025-02-23,0,ACTIVE
2025-03-02,0,ACTIVE
2025-03-09,0,ACTIVE
2025-03-16,-1,RESUMED
2025-03-23,-1,NORMAL
2025-03-30,-1,NORMAL
2025-04-06,-1,NORMAL
2025-04-13,-1,NORMAL
2025-04-20,0,NORMAL
2025-04-27,-1,NORMAL
2025-05-04,1,TRIGGERED
2025-05-11,1,ACTIVE
2025-05-18,1,ACTIVE
2025-05-25,1,ACTIVE
2025-06-01,1,RESUMED
2025-06-08,1,TRIGGERED
2025-06-15,1,ACTIVE
2025-06-22,0,ACTIVE
2025-06-29,0,ACTIVE
2025-07-06,1,RESUMED
2025-07-13,1,TRIGGERED
2025-07-20,1,ACTIVE
2025-07-27,1,ACTIVE
2025-08-03,1,ACTIVE
2025-08-10,1,RESUMED
2025-08-17,1,NORMAL
2025-08-24,1,NORMAL
2025-08-31,0,NORMAL
2025-09-07,0,NORMAL
2025-09-14,0,NORMAL
2025-09-21,0,NORMAL
2025-09-28,1,NORMAL
2025-10-05,1,NORMAL
2025-10-12,1,NORMAL
2025-10-19,0,NORMAL
2025-10-26,-1,NORMAL
2025-11-02,1,NORMAL
2025-11-09,-1,NORMAL
2025-11-16,-1,NORMAL
2025-11-23,-1,NORMAL
2025-11-30,-1,NORMAL
2025-12-07,-1,NORMAL
2025-12-14,-1,NORMAL
2025-12-21,-1,NORMAL
2025-12-28,0,NORMAL
2026-01-04,-1,NORMAL
2026-01-11,0,NORMAL
2026-01-18,0,NORMAL
2026-01-25,0,NORMAL
2026-02-01,-1,NORMAL
2026-02-08,-1,NORMAL
2026-02-15,-1,NORMAL
2026-02-22,-1,NORMAL
2026-03-01,-1,NORMAL
2026-03-08,-1,NORMAL
2026-03-15,-1,NORMAL
2026-03-22,0,NORMAL
2026-03-29,0,NORMAL
